,County,Population,Male,Female,White,Black,Minority,Housing Units,Aggregate Rent Spent By All Renter Housing Units,Rental Units For Which Rent Expenditures Calculated,Occupation Of Residents 16 Or Older - Professional And Managerial,"Occupation Of Residents 16 Or Older - Sales, Office And Administrative Support",Occupation Of Residents 16 Or Older - Services,"Occupation Of Residents 16 Or Older - Farming, Forestry, Or Fishing","Occupation Of Residents 16 Or Older - Construction, Extraction And Maintenance","Occupation Of Residents 16 Or Older - Production, Transportation And Material Moving",Work Classification Of Residents 16 Or Older - Private For-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Private Non-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Government Workers,Work Classification Of Residents 16 Or Older - Self-Employed Workers,Work Classification Of Residents 16 Or Older - Unpaid Family Workers,Means Of Travel To Work Of Employed Persons 16 Or Older - Drove Alone,Means Of Travel To Work Of Employed Persons 16 Or Older - Carpool,Means Of Travel To Work Of Employed Persons 16 Or Older - Public Transit,Means Of Travel To Work Of Employed Persons 16 Or Older - Taxicab,Means Of Travel To Work Of Employed Persons 16 Or Older - Motorcycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Bicycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Walked,Means Of Travel To Work Of Employed Persons 16 Or Older - Other Means,Means Of Travel To Work Of Employed Persons 16 Or Older - Worked At Home,"Households With Income Less Than $10,000","Households With Income $10,000-$14,999","Households With Income $15,000-$19,999","Households With Income $20,000-$24,999","Households With Income $25,000-$29,999","Households With Income $30,000-$34,999","Households With Income $35,000-$39,999","Households With Income $40,000-$44,999","Households With Income $45,000-$49,999","Households With Income $50,000-$59,999","Households With Income $60,000-$74,999","Households With Income $75,000-$99,999","Households With Income $100,000-$124,999","Households With Income $125,000-$149,999","Households With Income $150,000-$199,999","Households With Income $200,000 Or More",White Persons Among Whom Poverty Status Was Determined,Black Persons Among Whom Poverty Status Was Determined,Persons In Poverty,White Persons In Poverty,Black Persons In Poverty
8,Cass,997,515,482,757,61,273,452,90441.0,141,86,145,47,19,54,0,296,0,0,54,0,350,0,0,0,0,0,0,0,0,77,48,6,25,26,29,54,20,19,35,20,11,7,9,0,0,877,18,153,147,0
460,Jackson,2089,1028,1061,1751,156,412,1003,202668.0,394,139,99,87,0,95,199,498,28,7,86,0,536,57,0,0,0,0,11,0,15,121,26,72,86,142,108,83,36,21,42,38,32,63,0,0,0,1635,156,624,330,80
583,Jackson,3220,1650,1570,3122,19,119,1262,64086.0,169,647,377,174,0,272,167,1113,97,161,267,0,1146,242,0,0,0,0,21,77,131,44,8,15,23,17,63,63,47,53,102,158,253,128,82,89,53,3149,0,76,76,0
775,Platte,2086,1014,1072,1663,257,530,947,291840.0,428,559,286,142,0,77,93,799,184,89,84,0,1014,40,23,0,0,0,0,13,2,22,39,57,38,37,82,61,29,43,76,75,93,77,46,81,19,1619,271,165,71,83
54,Cass,2301,1076,1225,1783,366,561,997,609672.0,527,273,352,145,0,60,225,804,76,153,23,0,807,203,0,0,0,16,0,9,25,9,21,75,27,31,30,85,66,34,114,188,102,34,28,6,0,1832,254,390,327,46
163,Clay,1426,716,710,1250,72,216,657,175671.0,293,250,96,207,19,29,96,511,32,60,93,0,548,10,37,0,0,0,0,51,50,17,100,52,25,31,43,69,106,26,15,41,43,23,0,0,0,1307,28,195,149,21
563,Jackson,1468,486,982,1400,32,85,1498,1270625.0,997,22,30,0,0,38,34,112,12,0,0,0,124,0,0,0,0,0,0,0,0,81,123,153,179,168,118,51,33,52,84,53,22,23,0,0,0,1233,152,140,66,68
596,Jackson,985,543,442,198,625,860,298,103829.0,244,11,45,86,0,2,58,140,7,47,7,0,59,0,124,0,0,0,12,7,0,104,46,34,21,32,15,9,6,2,0,0,0,0,0,0,0,145,770,615,78,478
704,Jackson,1191,664,527,814,224,438,903,416755.0,703,331,101,168,0,15,110,444,124,63,93,0,546,44,46,0,0,0,27,0,12,259,74,48,12,12,41,77,39,13,35,56,46,20,3,7,35,906,144,276,175,81
459,Jackson,1999,1013,986,1700,93,349,1076,178158.0,394,207,247,173,0,143,210,740,103,111,26,0,816,67,27,0,0,0,22,0,12,67,69,108,108,82,71,59,58,36,45,61,113,35,14,0,0,1565,150,598,316,77
558,Jackson,3195,1592,1603,2940,171,352,1070,43868.0,35,849,423,104,0,178,139,1175,154,263,90,11,1501,77,12,0,0,0,22,0,36,20,7,4,12,38,41,21,42,49,114,178,228,161,66,53,7,2985,69,125,125,0
808,Platte,1845,907,938,1676,68,232,734,260839.0,294,375,273,186,17,22,71,638,55,191,60,0,888,104,0,0,0,0,11,27,28,17,4,14,8,29,46,38,11,25,75,110,129,110,35,17,22,1672,83,178,174,3
683,Jackson,1683,1214,469,787,736,930,665,194400.0,277,373,130,118,0,17,17,397,73,113,73,0,541,15,24,0,0,19,39,0,5,140,16,11,23,32,11,39,35,16,21,29,56,27,26,60,25,612,174,275,171,73
489,Jackson,1013,495,518,777,150,264,524,124910.0,218,167,209,75,0,79,72,500,40,14,47,0,548,0,24,0,0,0,10,19,0,30,30,5,21,61,53,42,33,16,32,53,67,22,0,0,0,668,216,121,76,27
812,Platte,1276,643,633,1249,0,54,512,3289.0,30,276,164,93,18,65,33,551,39,60,0,0,630,19,0,0,0,0,0,0,0,0,0,0,0,28,29,13,7,23,56,88,138,52,22,40,0,1229,96,70,58,3
70,Clay,967,508,459,882,28,126,477,32830.0,58,165,217,34,0,58,89,492,33,25,15,0,515,35,0,0,0,0,0,0,15,2,12,18,17,40,37,35,22,17,43,65,70,38,18,5,0,785,69,48,43,4
734,Jackson,687,399,288,397,213,329,465,114650.0,228,181,45,95,0,0,6,212,45,17,53,0,217,0,83,0,0,27,0,0,0,152,6,28,17,12,15,9,4,6,20,30,17,4,0,6,28,300,283,304,75,183
85,Clay,1477,738,739,1347,40,182,588,69349.0,104,234,179,33,0,115,126,514,36,95,42,0,586,86,0,0,0,0,15,0,0,5,15,45,38,29,49,51,24,39,73,72,81,30,0,0,0,1362,84,251,229,20
63,Clay,875,413,462,820,11,91,425,25773.0,50,178,138,107,0,89,37,253,50,159,88,0,419,36,66,0,0,0,0,0,0,15,22,35,13,17,21,24,14,21,52,66,46,27,25,7,0,812,1333,27,27,33
800,Platte,2115,1071,1044,1810,132,394,759,0.0,21,535,301,108,0,146,128,778,122,164,153,0,960,150,0,0,0,0,0,0,108,5,27,3,7,12,12,15,31,54,80,64,147,146,79,32,19,1872,1872,126,114,114
144,Clay,1552,787,765,1450,29,156,588,52953.0,84,253,225,96,0,86,112,634,18,76,43,0,623,81,0,0,0,0,0,0,31,16,29,26,31,28,18,16,17,19,43,51,55,79,47,45,32,1425,74,192,177,6
811,Platte,703,375,328,623,23,113,424,83307.0,176,56,81,113,10,58,96,361,2,38,13,0,335,40,0,0,0,0,17,13,12,30,18,30,34,18,23,25,12,17,39,48,40,4,3,2,0,677,53,39,32,1
184,Clay,1163,589,574,1119,9,64,447,31189.0,36,158,101,101,0,61,103,313,35,103,72,0,345,78,0,0,0,0,0,0,60,9,2,16,32,18,16,35,22,8,20,45,76,45,41,23,12,1149,21,25,25,0
174,Clay,942,457,485,895,10,70,443,68095.0,140,29,184,36,0,76,72,317,20,26,34,0,341,36,0,0,0,0,0,3,17,6,45,66,58,18,27,28,34,9,0,26,79,0,0,0,0,840,58,168,151,16
626,Jackson,2206,985,1221,1392,662,860,1032,260221.0,510,261,303,198,0,117,134,716,60,192,44,0,886,116,0,0,0,0,0,0,0,129,98,122,82,55,31,33,39,36,59,65,74,72,46,30,0,1532,1742,167,94,97
546,Jackson,513,211,302,389,96,128,297,32546.0,55,122,45,6,0,14,0,105,22,32,29,0,183,0,0,0,0,0,0,0,5,16,10,9,13,4,3,14,36,27,39,33,11,14,9,29,10,313,152,201,92,107
659,Jackson,1540,767,773,1371,87,221,687,118161.0,149,227,217,33,0,41,113,400,81,93,57,0,446,134,0,0,0,0,0,29,22,43,20,11,52,48,14,49,40,6,0,38,144,68,26,41,33,1419,61,155,155,0
170,Clay,891,447,444,825,13,83,389,10807.0,33,127,59,116,0,17,90,268,84,44,14,0,343,42,0,0,0,0,0,11,14,3,17,25,48,44,31,26,19,18,31,30,27,35,19,0,0,800,44,65,27,33
320,Jackson,748,350,398,31,684,719,360,59234.0,109,37,74,32,0,9,6,123,15,20,0,0,122,21,0,0,0,0,0,0,15,35,29,26,19,24,5,9,10,14,36,42,8,0,6,19,0,23,614,191,5,178
299,Jackson,1109,540,569,913,92,249,886,440901.0,505,398,132,73,0,0,11,495,32,28,58,0,530,13,0,0,0,0,26,0,45,101,52,17,45,57,56,63,52,43,48,13,50,68,5,2,11,926,83,257,218,14
247,Jackson,859,437,422,389,113,661,336,91348.0,191,20,37,67,9,24,181,267,35,0,35,0,207,41,56,0,0,0,16,0,0,3,24,55,70,48,10,23,12,4,6,4,11,0,0,0,0,434,169,374,179,118
602,Jackson,507,243,264,21,455,501,290,16066.0,23,21,48,12,0,0,60,101,0,41,0,0,103,0,39,0,0,0,0,0,0,32,11,10,46,48,22,8,16,10,6,0,0,0,0,0,0,31,435,83,8,68
684,Jackson,935,404,531,200,539,799,400,128078.0,255,29,107,77,0,82,118,236,45,80,52,0,258,54,23,0,0,0,22,23,19,73,55,40,52,38,31,9,0,10,14,2,0,6,8,0,0,93,536,448,54,238
443,Jackson,1037,479,558,783,131,281,468,35046.0,111,68,95,104,0,71,103,376,13,53,0,0,337,48,0,0,0,0,0,44,0,27,60,47,18,3,10,15,5,8,36,71,67,19,8,0,0,838,56,266,190,50
608,Jackson,2006,977,1029,1789,82,303,747,230937.0,164,216,318,199,0,213,102,855,27,139,28,0,915,62,0,0,0,0,0,0,72,0,5,25,23,33,36,24,9,44,95,120,181,62,33,9,0,1829,110,111,108,0
153,Clay,776,383,393,630,101,171,300,125681.0,136,210,54,201,0,0,18,359,34,89,0,0,448,34,0,0,0,0,0,0,0,0,0,5,9,0,0,15,7,15,28,21,60,88,21,14,0,613,90,58,19,29
611,Jackson,1808,876,932,1556,151,306,743,81234.0,131,274,330,114,0,163,262,914,64,128,35,0,887,149,0,0,0,0,0,0,61,0,6,33,66,67,24,40,19,15,31,66,181,94,23,8,0,1501,112,268,238,15
561,Jackson,1429,702,727,1332,53,118,548,0.0,6,431,181,54,0,77,65,498,102,59,148,0,705,68,0,0,0,0,0,0,35,0,4,12,0,0,0,15,33,29,31,20,80,103,87,73,47,1387,42,0,0,0
530,Jackson,1514,749,765,1146,163,436,735,141918.0,258,267,186,249,0,74,63,572,87,66,113,0,671,83,6,0,0,0,13,9,11,26,66,25,38,50,65,58,28,13,49,100,81,23,26,0,0,1111,178,161,89,10
183,Clay,1739,897,842,1708,2,57,653,15709.0,30,160,240,123,0,106,173,420,61,123,198,0,606,126,0,0,0,0,0,0,58,13,3,10,6,26,27,15,38,37,77,124,139,64,45,0,0,1718,32,38,37,1
378,Jackson,1013,467,546,245,716,781,436,54433.0,138,59,129,171,0,8,45,262,27,116,8,0,297,61,52,0,0,0,0,0,3,57,9,11,32,45,29,21,23,16,25,44,55,5,0,0,0,310,640,359,89,239
236,Jackson,785,411,374,257,323,582,317,59634.0,132,25,74,79,0,61,65,202,13,10,78,0,205,31,28,0,0,0,0,10,0,61,54,32,4,13,27,10,18,6,0,0,0,0,0,0,0,392,226,282,126,92
645,Jackson,2067,1007,1060,1903,46,207,849,73213.0,50,461,213,80,0,95,71,505,136,244,35,0,717,150,0,0,0,0,0,0,41,7,51,71,80,31,23,42,45,18,25,67,159,116,45,29,10,1802,73,40,36,0
222,Jackson,763,390,373,410,83,477,309,67454.0,98,68,78,57,0,41,93,232,40,30,35,0,298,7,7,0,0,0,0,0,24,5,28,22,31,22,15,30,29,22,25,5,5,3,4,0,0,371,65,200,90,9
266,Jackson,802,421,381,623,107,203,416,98541.0,160,329,97,56,0,3,6,250,69,73,98,0,424,22,9,0,0,0,0,3,33,64,1,6,11,6,9,7,0,10,15,10,44,66,40,41,43,473,251,174,85,74
220,Jackson,999,505,494,401,77,811,372,47611.0,123,23,132,152,0,18,87,323,33,18,38,0,279,82,9,0,0,0,0,18,14,69,11,38,21,38,22,11,10,22,32,9,13,12,0,0,0,534,185,376,206,45
340,Jackson,645,319,326,622,12,30,263,0.0,0,286,43,14,0,13,8,212,55,25,71,0,312,8,0,0,0,0,0,0,43,22,2,6,0,0,0,0,0,0,7,23,32,19,23,63,53,620,10,18,18,0
397,Jackson,853,421,432,308,469,566,501,56989.0,82,227,128,59,0,66,8,277,52,90,68,0,372,33,10,0,0,0,19,0,46,3,16,10,15,32,47,32,32,24,29,29,57,29,2,4,20,395,387,96,24,72
258,Jackson,954,386,568,32,878,922,517,122099.0,240,31,178,39,0,37,32,194,65,34,24,0,235,4,53,0,0,0,20,0,2,71,53,64,55,30,34,21,25,10,5,12,25,0,0,0,0,17,912,401,14,367
436,Jackson,1434,718,716,1301,72,179,598,62365.0,81,306,238,82,0,75,172,638,61,113,61,0,766,107,0,0,0,0,0,0,0,10,0,19,82,63,14,10,16,26,42,46,74,31,20,27,77,1259,59,204,174,25
651,Jackson,912,442,470,774,38,151,323,0.0,0,196,108,93,0,0,73,276,58,114,22,0,418,43,0,0,0,0,0,0,8,0,2,11,13,5,0,10,11,10,24,37,46,42,26,17,53,830,28,16,16,0
29,Cass,1422,690,732,1352,10,121,609,130100.0,237,143,163,108,0,60,148,475,41,61,45,0,427,99,10,0,0,10,40,14,11,37,46,24,44,36,49,36,10,38,71,53,50,9,8,26,3,1278,6,144,142,3
269,Jackson,495,230,265,95,377,412,266,97313.0,216,4,23,76,0,0,19,30,25,38,29,0,48,0,20,0,0,0,5,0,31,98,20,48,30,2,5,9,3,0,4,9,0,2,3,0,0,77,335,304,25,254
19,Cass,1860,830,1030,1726,50,158,832,122346.0,215,233,164,302,0,134,7,498,174,93,76,0,701,78,7,0,0,0,29,0,25,37,48,67,111,73,50,61,54,28,44,68,82,32,11,10,0,1779,20,48,41,3
233,Jackson,800,510,290,532,173,315,852,367255.0,588,256,159,71,0,7,131,546,22,56,0,0,468,98,4,0,0,5,14,0,5,145,94,94,23,61,70,36,21,7,6,10,34,28,0,0,0,576,172,165,126,32
155,Clay,1800,832,968,1411,226,459,1060,509339.0,652,281,273,76,13,49,249,698,25,203,15,0,869,48,0,0,0,0,0,25,0,107,35,58,24,23,92,105,68,42,56,63,115,54,22,0,0,1423,208,135,45,67
552,Jackson,766,357,409,605,98,193,375,38826.0,12,135,92,18,0,18,52,244,17,41,14,0,183,133,0,0,0,0,0,0,0,51,0,0,7,35,26,8,17,43,62,24,25,8,8,28,12,485,140,44,24,20
194,Clay,1375,611,764,1297,6,92,697,386829.0,486,218,102,137,13,50,80,398,31,153,18,0,524,75,0,0,0,0,0,0,0,26,53,93,60,84,84,66,41,13,18,29,35,11,15,0,0,1289,0,58,58,0
786,Platte,791,357,434,681,55,131,383,46794.0,87,150,68,175,0,5,0,189,32,57,119,0,192,123,16,0,0,0,0,0,22,42,30,13,3,18,34,15,11,15,23,23,46,57,9,8,8,576,68,68,35,16
610,Jackson,3144,1538,1606,2648,282,644,1284,422762.0,689,427,409,150,0,198,191,1058,39,206,72,0,1047,213,0,0,0,0,18,0,60,152,86,107,52,54,59,73,47,92,180,166,127,23,0,0,0,2610,195,467,414,27
762,Platte,1499,770,729,1181,179,337,848,390222.0,540,377,222,114,0,26,242,781,71,81,46,0,756,135,0,0,0,0,0,0,0,59,38,16,5,38,63,93,66,30,56,72,65,80,47,16,24,1226,149,117,64,24
769,Platte,1451,722,729,1361,15,127,495,0.0,0,427,139,92,0,0,71,504,141,46,38,0,568,77,14,0,0,0,0,45,0,0,0,0,8,11,0,0,0,13,31,30,27,47,51,92,162,1276,1138,103,74,156
794,Platte,662,329,333,467,109,220,426,155173.0,287,153,115,60,0,0,107,397,0,23,15,0,402,32,0,0,0,0,0,0,0,30,19,0,15,36,34,45,40,8,9,22,9,0,5,15,0,588,16,51,33,1
598,Jackson,4468,2125,2343,4047,172,554,1736,743297.0,993,639,432,446,0,352,237,1606,169,300,30,0,1829,146,0,0,0,0,50,0,26,28,77,154,202,39,44,58,51,117,249,258,200,54,12,41,23,4069,51,690,622,51
59,Clay,1650,778,872,1169,148,539,978,392237.0,694,216,311,254,0,35,90,603,108,100,95,0,869,37,0,0,0,0,0,0,0,74,76,79,37,71,65,59,30,73,134,83,41,44,13,12,0,1227,168,229,156,23
398,Jackson,1650,700,950,1296,271,388,1047,668040.0,621,385,248,80,0,62,44,451,136,81,137,14,639,64,22,0,0,0,27,0,46,15,42,84,77,76,82,157,107,50,72,48,29,31,24,58,8,1308,90,125,51,0
129,Clay,1758,803,955,1227,280,590,949,392717.0,725,90,180,257,0,40,166,673,61,0,0,0,540,149,0,0,0,0,18,26,0,106,150,123,133,29,16,26,20,71,106,29,22,0,0,2,10,1279,239,338,236,8
528,Jackson,865,388,477,260,521,626,350,120523.0,169,109,109,97,0,0,78,188,59,146,0,0,281,87,0,0,0,0,0,18,0,16,9,20,39,17,14,10,7,17,37,42,23,5,14,23,0,277,568,179,27,146
65,Clay,697,314,383,588,19,136,410,134742.0,208,79,71,169,0,25,92,307,13,116,0,0,305,84,0,0,0,0,0,0,0,19,55,42,5,13,46,46,8,5,19,38,54,14,0,0,0,527,841,100,61,87
374,Jackson,1242,639,603,1026,103,274,716,123069.0,200,333,224,139,0,24,91,601,88,84,38,0,697,59,8,0,0,0,0,33,14,38,66,18,9,30,32,38,21,42,95,109,101,26,0,5,23,781,321,205,49,143
141,Clay,2601,1209,1392,1818,516,890,1446,846871.0,1246,347,582,536,0,29,222,1412,196,84,24,0,1314,305,16,0,0,0,0,81,0,48,93,81,177,150,58,174,96,71,130,108,81,41,18,8,0,2027,331,227,220,7
469,Jackson,1771,872,899,1522,72,332,842,69442.0,90,318,196,293,0,49,86,627,157,126,10,22,905,0,0,0,0,0,0,0,25,66,27,63,33,25,56,22,8,12,67,137,126,79,12,39,10,1414,190,307,269,4
30,Cass,778,355,423,726,13,65,394,128867.0,220,137,14,128,0,28,28,188,77,10,61,0,274,62,0,0,0,0,0,0,0,11,21,69,15,8,21,32,35,41,66,42,0,0,0,0,0,619,86,132,111,16
738,Jackson,1009,501,508,898,64,151,390,33885.0,41,216,132,113,0,16,37,386,58,42,27,0,471,0,0,0,0,0,0,2,33,0,4,13,0,10,26,12,7,14,40,63,80,80,10,10,7,787,100,51,40,3
671,Platte,517,218,299,340,72,196,59,0.0,0,95,72,37,0,0,33,138,60,40,0,0,132,7,0,0,0,0,55,0,43,0,0,0,0,0,16,12,0,0,0,0,0,13,18,0,0,455,405,37,26,55
246,Jackson,1833,936,897,905,196,1424,669,138435.0,310,30,77,79,0,100,249,489,26,0,19,0,402,71,0,0,0,0,0,60,0,115,41,43,89,66,38,22,7,26,41,23,20,0,0,0,0,926,361,799,383,251
11,Cass,1038,503,535,932,26,134,375,36965.0,59,213,128,151,8,47,61,481,50,76,3,0,518,73,0,0,0,0,0,8,5,3,6,14,10,16,31,28,10,30,65,60,41,24,5,2,10,767,113,65,65,0
743,Jackson,1372,691,681,1292,44,131,485,39080.0,23,369,247,43,0,12,53,436,43,141,104,0,637,46,0,0,0,0,0,0,41,11,0,12,39,28,7,10,5,8,16,35,93,66,52,31,59,1121,106,33,25,8
264,Jackson,1229,597,632,876,256,429,764,213146.0,380,339,173,128,0,117,53,522,101,33,154,0,657,53,26,0,0,0,27,0,46,101,66,23,47,84,61,55,53,32,41,29,55,41,0,0,0,950,68,243,182,30
797,Platte,1661,832,829,1566,45,117,532,48248.0,60,410,303,108,0,29,61,699,25,147,38,0,855,16,0,0,0,0,0,14,25,6,16,48,0,5,5,10,5,12,19,29,95,75,62,88,47,1536,45,58,58,0
330,Jackson,668,299,369,40,602,629,286,29665.0,45,64,77,53,15,0,6,137,16,58,3,0,191,9,6,0,0,0,0,3,0,10,23,9,15,23,23,24,5,32,53,21,13,0,0,0,0,86,534,125,26,85
672,Jackson,845,413,432,486,33,760,314,51368.0,94,43,93,118,0,11,96,211,51,55,43,0,308,37,0,0,0,0,4,0,0,56,34,2,5,4,11,13,19,36,48,12,7,3,5,7,18,280,106,311,53,59
641,Jackson,2887,1358,1529,2367,224,626,1615,741227.0,1084,417,515,348,0,116,131,1243,133,54,97,0,1320,165,16,0,0,0,0,0,16,113,116,224,144,128,141,74,32,53,136,170,74,33,6,0,0,2325,192,435,330,36
615,Jackson,1847,930,917,1728,63,132,662,48397.0,59,459,345,15,0,74,109,620,36,190,157,0,866,69,0,0,0,0,14,0,52,19,14,12,5,19,26,33,24,3,13,47,107,152,99,49,18,1624,110,193,121,10
319,Jackson,458,201,257,22,420,436,267,15000.0,38,0,33,27,0,0,66,95,0,25,6,0,126,0,0,0,0,0,0,0,0,6,6,7,20,10,0,9,21,14,19,14,22,44,0,0,0,14,376,117,3,109
321,Jackson,985,408,577,18,946,967,537,105251.0,280,88,140,49,0,0,7,178,19,58,28,0,242,16,19,0,0,0,1,0,6,98,124,65,22,18,15,12,5,4,18,38,49,16,0,0,0,30,809,251,7,234
327,Jackson,818,377,441,21,763,800,389,65057.0,116,88,104,37,0,33,58,269,1,17,31,0,282,14,21,0,0,0,0,0,1,79,30,30,17,43,49,7,0,0,14,28,4,8,0,0,0,20,738,236,9,204
255,Jackson,676,341,335,184,266,589,322,70732.0,138,0,0,96,0,0,63,144,0,15,0,0,68,59,31,0,0,0,0,0,0,28,65,72,10,15,0,4,2,0,8,16,0,0,0,0,0,181,355,391,93,202
728,Jackson,890,436,454,743,106,161,396,27301.0,24,203,144,76,0,67,17,324,53,78,50,0,456,26,0,0,0,0,0,0,20,13,1,11,23,16,13,16,14,20,37,39,56,35,18,31,29,551,551,46,13,13
28,Cass,955,436,519,906,10,76,411,41777.0,112,36,107,31,0,47,47,207,26,21,13,0,233,32,0,0,0,0,0,2,0,76,58,11,12,24,13,17,42,25,33,31,12,10,0,0,0,858,4,97,95,2
715,Jackson,578,282,296,151,387,438,368,167453.0,306,80,76,49,0,28,50,181,38,53,11,0,221,26,0,0,0,0,0,11,11,59,44,30,60,44,20,15,12,8,11,9,0,0,0,0,0,236,282,93,25,45
243,Jackson,1357,683,674,595,73,963,506,90864.0,203,35,135,63,0,125,175,460,24,21,12,15,361,100,24,0,0,12,10,0,9,103,54,43,41,64,32,9,2,10,21,20,16,4,0,0,0,572,45,531,127,36
730,Jackson,3338,1672,1666,3050,91,416,1160,82476.0,90,390,495,278,0,314,282,1300,91,262,106,0,1468,196,0,0,0,0,8,11,38,11,5,18,32,46,24,43,57,74,139,180,278,158,42,8,9,3031,69,181,174,0
425,Jackson,980,516,464,914,20,86,462,69394.0,115,173,122,32,0,72,8,277,81,27,22,0,361,29,6,0,0,0,11,0,0,76,18,15,24,41,46,38,15,16,29,26,39,14,10,0,0,899,19,156,140,16
131,Clay,2572,1288,1284,2236,121,420,1038,173897.0,282,661,432,206,0,48,183,1125,93,177,134,0,1360,56,37,0,0,0,17,0,45,33,32,28,56,57,35,21,21,15,48,92,116,139,92,107,79,2068,175,104,88,16
203,Clay,814,403,411,586,105,267,466,146556.0,272,120,75,92,0,8,0,264,0,30,0,0,235,8,0,0,0,0,0,23,28,28,39,60,65,84,7,5,51,23,11,6,12,35,15,0,0,722,14,75,69,12
234,Jackson,842,445,397,290,180,661,408,68689.0,134,61,100,63,0,95,116,391,10,0,34,0,264,49,31,0,0,0,46,0,0,65,21,7,18,36,42,22,2,3,4,9,27,0,0,0,0,420,242,303,136,99
620,Jackson,2554,1231,1323,2214,164,402,954,34480.0,41,596,439,86,0,64,47,913,101,43,175,0,1061,48,0,0,0,0,0,15,108,15,15,7,14,0,28,71,26,19,66,106,137,159,113,108,48,2078,294,62,56,0
454,Jackson,684,327,357,568,47,136,386,68001.0,142,81,30,103,0,31,67,266,9,6,31,0,262,50,0,0,0,0,0,0,0,24,15,18,10,30,51,25,2,3,16,36,45,6,3,8,0,568,106,119,104,15
723,Jackson,529,253,276,222,267,311,249,8964.0,19,161,30,19,0,27,52,169,48,48,25,0,205,65,0,0,0,0,0,0,4,0,2,7,0,8,23,19,4,8,19,23,37,21,9,6,28,282,231,98,29,64
245,Jackson,980,459,521,228,622,825,488,89986.0,220,104,55,71,0,41,64,310,14,12,0,0,133,138,64,0,0,0,0,0,0,129,27,27,16,18,29,19,0,12,17,7,21,0,0,0,0,495,193,427,205,134
435,Jackson,4278,1863,2415,3572,353,826,2053,832157.0,1072,514,403,385,0,233,240,1270,158,277,69,0,1503,153,0,0,0,1,11,77,7,213,164,113,119,63,81,97,53,54,155,233,244,197,56,34,13,3754,175,610,520,76
735,Jackson,1008,482,526,317,607,714,705,187213.0,523,123,78,95,0,5,59,262,58,24,17,0,174,97,39,0,0,0,40,3,7,323,17,23,36,26,10,46,21,5,11,19,34,0,3,10,7,440,415,446,110,268
655,Jackson,863,408,455,725,101,149,370,0.0,0,187,139,65,0,9,0,283,46,25,45,0,365,0,0,0,0,0,0,19,15,2,10,18,23,3,7,2,22,36,59,50,39,14,31,34,7,707,119,65,37,13
537,Jackson,2239,926,1313,507,1574,1751,1012,282812.0,530,154,321,140,0,167,108,669,90,79,51,0,781,93,0,0,0,0,0,0,15,198,101,16,64,150,89,21,11,35,61,52,55,16,7,0,0,771,1330,134,69,46
617,Jackson,2038,958,1080,1712,137,363,827,241483.0,469,414,224,157,0,124,106,671,83,241,30,0,876,89,28,0,0,0,0,0,33,48,136,39,46,72,75,59,11,33,62,41,56,60,19,11,12,1792,121,213,134,11
614,Jackson,790,407,383,729,29,80,322,44353.0,49,166,46,21,0,78,32,256,16,34,39,0,256,82,0,0,0,0,0,0,6,2,14,12,13,14,15,13,23,10,25,47,33,26,20,29,6,766,0,0,0,0
7,Jackson,755,389,366,726,2,36,255,0.0,0,253,62,44,0,0,16,286,45,16,28,0,279,25,0,0,0,0,2,0,24,0,0,0,0,5,5,0,0,0,0,5,24,23,13,44,126,726,4,0,0,0
741,Jackson,790,381,409,710,43,99,373,57789.0,115,181,201,36,0,37,89,437,41,66,0,0,423,0,0,0,0,0,4,0,47,12,2,12,23,18,11,25,23,25,44,61,89,0,0,0,0,721,36,141,130,6
400,Jackson,1000,477,523,903,61,119,399,0.0,0,295,103,25,0,10,21,245,73,58,78,0,389,36,0,0,0,0,9,0,20,0,3,18,28,18,6,16,18,8,16,35,62,36,23,58,39,793,55,76,31,0
281,Jackson,496,224,272,15,467,486,255,40130.0,75,131,14,58,0,0,13,149,6,60,0,0,135,45,35,0,0,0,0,0,0,20,35,21,21,17,9,2,11,20,25,5,8,15,10,0,0,30,427,168,21,142
384,Jackson,739,318,421,271,421,483,441,257989.0,375,156,169,85,0,30,0,341,38,40,20,0,360,78,0,0,0,0,0,0,11,24,15,15,5,39,44,34,84,47,32,16,48,0,0,0,0,519,189,57,29,26
449,Jackson,908,442,466,783,32,145,489,72011.0,154,211,175,30,0,70,45,376,48,83,23,0,461,45,0,0,0,0,0,0,0,34,19,32,30,20,24,20,16,41,58,29,59,11,0,0,0,730,48,215,191,17
123,Clay,872,415,457,762,42,154,422,102399.0,184,97,105,109,0,12,70,329,18,46,0,0,323,70,0,0,0,0,0,0,0,34,9,18,35,36,35,20,27,22,42,49,34,34,9,0,0,810,37,51,37,13
366,Jackson,1276,629,647,1214,18,107,576,15588.0,33,557,164,90,0,19,21,487,165,75,124,0,732,15,19,0,0,22,0,0,50,16,0,0,0,10,10,0,11,14,33,65,107,98,92,77,23,1166,79,108,88,16
43,Cass,1155,569,586,1109,20,71,434,13001.0,14,299,106,66,0,86,134,436,17,108,131,0,588,36,9,0,0,0,0,0,57,0,0,8,16,9,9,10,27,7,0,27,113,69,13,31,75,1095,14,57,57,0
